Name_of_Property,PricePerSquareFeet,Age,Building Area in Sqfeet,Miles to Freeway,Lot Size in Sqfeet,Ceiling Height in feet,Exterior Wall,Facilities_Score,Location,Sale Price,Age_squared,Building_Area_Squared,Miles_Squared,Lot_Squared,Ceiling_Squared,Exterior_Squared,Facilities_Squared,BuildingSize*Location,LotSize*Location,Exterior*Location,Facilities_Location
16,108,8,38796,3.25,1550000,25,1.5,0.82,0,4189968,64,1505129616,10.5625,2.4025E+12,625,2.25,0.6724,0,0,0,0
17,67.5,5,38989,3.5,840000,23,1.2,0.75,0,2631757.5,25,1520142121,12.25,7.056E+11,529,1.44,0.5625,0,0,0,0
18,88.5,5,39290,3.5,420000,35,1.7,0.61,0,3477165,25,1543704100,12.25,1.764E+11,1225,2.89,0.3721,0,0,0,0
19,112.5,10,39958,2.5,760000,25,1.8,0.71,0,4495275,100,1596641764,6.25,5.776E+11,625,3.24,0.5041,0,0,0,0
20,88.5,14,40225,2,1510000,27,1.4,0.66,1,3559912.5,196,1618050625,4,2.2801E+12,729,1.96,0.4356,40225,1510000,1.4,0.66
21,70.5,16,41103,2.5,1200000,20,1.5,0.57,0,2897761.5,256,1689456609,6.25,1.44E+12,400,2.25,0.3249,0,0,0,0
22,85.5,20,42659,2.5,1880000,24,1.4,0.76,1,3647344.5,400,1819790281,6.25,3.5344E+12,576,1.96,0.5776,42659,1880000,1.4,0.76
23,91.5,13,43692,2.5,150000,23,1.1,0.9,0,3997818,169,1908990864,6.25,22500000000,529,1.21,0.81,0,0,0,0
24,67.5,18,43881,2.25,330000,16,1.6,0.89,0,2961967.5,324,1925542161,5.0625,1.089E+11,256,2.56,0.7921,0,0,0,0
25,109.5,6,44653,2.5,1800000,25,2,0.76,1,4889503.5,36,1993890409,6.25,3.24E+12,625,4,0.5776,44653,1800000,2,0.76
26,76.5,13,45481,2.5,1010000,15,1.7,0.65,1,3479296.5,169,2068521361,6.25,1.0201E+12,225,2.89,0.4225,45481,1010000,1.7,0.65
27,108,5,46879,1.5,460000,20,1.5,0.8,0,5062932,25,2197640641,2.25,2.116E+11,400,2.25,0.64,0,0,0,0
28,111,3,47244,3,360000,24,1.8,0.55,1,5244084,9,2231995536,9,1.296E+11,576,3.24,0.3025,47244,360000,1.8,0.55
29,82.5,11,47606,3.5,1160000,26,1.5,0.67,1,3927495,121,2266331236,12.25,1.3456E+12,676,2.25,0.4489,47606,1160000,1.5,0.67
30,106.5,2,48368,2.75,770000,25,1.8,0.82,0,5151192,4,2339463424,7.5625,5.929E+11,625,3.24,0.6724,0,0,0,0
31,87,18,48383,2.5,440000,26,1.4,0.65,0,4209321,324,2340914689,6.25,1.936E+11,676,1.96,0.4225,0,0,0,0
32,81,10,52553,3,630000,30,1.1,0.9,1,4256793,100,2761817809,9,3.969E+11,900,1.21,0.81,52553,630000,1.1,0.9
33,102,13,52722,1.75,980000,25,1.1,0.86,0,5377644,169,2779609284,3.0625,9.604E+11,625,1.21,0.7396,0,0,0,0
34,114,3,55564,1.5,880000,30,1.7,0.94,0,6334296,9,3087358096,2.25,7.744E+11,900,2.89,0.8836,0,0,0,0
35,78,10,56548,2.5,70000,25,1.6,0.71,0,4410744,100,3197676304,6.25,4900000000,625,2.56,0.5041,0,0,0,0
36,76.5,15,57220,3,1800000,24,1.2,0.62,1,4377330,225,3274128400,9,3.24E+12,576,1.44,0.3844,57220,1800000,1.2,0.62
37,99,9,58753,2.25,1260000,19,1.4,0.91,0,5816547,81,3451915009,5.0625,1.5876E+12,361,1.96,0.8281,0,0,0,0
38,103.5,15,60072,3,1510000,20,1.6,0.7,1,6217452,225,3608645184,9,2.2801E+12,400,2.56,0.49,60072,1510000,1.6,0.7
39,85.5,0,60800,2,1760000,25,1.4,0.65,0,5198400,0,3696640000,4,3.0976E+12,625,1.96,0.4225,0,0,0,0
40,63,13,61539,3.5,1650000,15,1.2,0.55,1,3876957,169,3787048521,12.25,2.7225E+12,225,1.44,0.3025,61539,1650000,1.2,0.55
41,106.5,9,61739,2.25,270000,34,1.5,0.7,1,6575203.5,81,3811704121,5.0625,72900000000,1156,2.25,0.49,61739,270000,1.5,0.7
42,96,5,62375,2.5,1820000,21,1.9,0.93,1,5988000,25,3890640625,6.25,3.3124E+12,441,3.61,0.8649,62375,1820000,1.9,0.93
43,64.5,10,62467,2.5,930000,17,1.3,0.68,0,4029121.5,100,3902126089,6.25,8.649E+11,289,1.69,0.4624,0,0,0,0
44,87,7,63832,3,740000,35,1.2,0.73,0,5553384,49,4074524224,9,5.476E+11,1225,1.44,0.5329,0,0,0,0
45,64.5,7,64697,4.25,1710000,20,1.2,0.55,1,4172956.5,49,4185701809,18.0625,2.9241E+12,400,1.44,0.3025,64697,1710000,1.2,0.55
46,78,12,65046,3.25,1680000,27,1.1,0.81,0,5073588,144,4230982116,10.5625,2.8224E+12,729,1.21,0.6561,0,0,0,0
47,100.5,17,65431,2.25,440000,24,1.4,0.97,1,6575815.5,289,4281215761,5.0625,1.936E+11,576,1.96,0.9409,65431,440000,1.4,0.97
48,61.5,9,66737,4,1460000,15,1,0.68,0,4104325.5,81,4453827169,16,2.1316E+12,225,1,0.4624,0,0,0,0
49,73.5,14,67011,3.75,1590000,30,1.2,0.8,1,4925308.5,196,4490474121,14.0625,2.5281E+12,900,1.44,0.64,67011,1590000,1.2,0.8
50,70.5,17,67259,4,1170000,22,1.3,0.72,1,4741759.5,289,4523773081,16,1.3689E+12,484,1.69,0.5184,67259,1170000,1.3,0.72
51,108,12,68137,3,790000,35,1.7,0.62,1,7358796,144,4642650769,9,6.241E+11,1225,2.89,0.3844,68137,790000,1.7,0.62
52,93,18,68505,2,1570000,21,1.8,0.72,1,6370965,324,4692935025,4,2.4649E+12,441,3.24,0.5184,68505,1570000,1.8,0.72
53,93,11,70501,2.75,1130000,25,1.7,0.85,1,6556593,121,4970391001,7.5625,1.2769E+12,625,2.89,0.7225,70501,1130000,1.7,0.85
54,99,11,71554,3.5,110000,24,1.5,0.65,1,7083846,121,5119974916,12.25,12100000000,576,2.25,0.4225,71554,110000,1.5,0.65
55,70.5,8,71896,3.5,170000,25,1.2,0.8,1,5068668,64,5169034816,12.25,28900000000,625,1.44,0.64,71896,170000,1.2,0.8
56,82.5,5,75276,2.5,770000,24,1.4,0.71,1,6210270,25,5666476176,6.25,5.929E+11,576,1.96,0.5041,75276,770000,1.4,0.71
57,75,8,76215,2.25,160000,33,1.6,0.55,0,5716125,64,5808726225,5.0625,25600000000,1089,2.56,0.3025,0,0,0,0
Property1,-1,5,40000,2,150000,25,2,0.76,1,-1,25,1600000000,4,22500000000,625,4,0.5776,40000,150000,2,0.76
Property2,-1,3,55000,3,120000,27,1.8,0.61,0,-1,9,3025000000,9,14400000000,729,3.24,0.3721,0,0,0,0
Property3,-1,4,50000,2.6,175000,22,1.7,0.66,1,-1,16,2500000000,6.76,30625000000,484,2.89,0.4356,50000,175000,1.7,0.66
Property4,-1,3.5,55000,3,150000,20,1.5,0.78,0,-1,12.25,3025000000,9,22500000000,400,2.25,0.6084,0,0,0,0
Property5,-1,5,45000,2.5,200000,24,1.8,0.56,1,-1,25,2025000000,6.25,40000000000,576,3.24,0.3136,45000,200000,1.8,0.56
Property6,-1,4,42000,2.8,300000,22,1.6,0.58,0,-1,16,1764000000,7.84,90000000000,484,2.56,0.3364,0,0,0,0
Porperty7,-1,5,58000,3.1,250000,21,1.9,0.86,1,-1,25,3364000000,9.61,62500000000,441,3.61,0.7396,58000,250000,1.9,0.86
